config,k,precision,recall,ndcg,hitrate,coverage,entropy,ils
[B] Random,5,0.007386,0.006611,0.008853,0.036932,0.114962,1.596269,0.23125
[B] Random,10,0.006818,0.012822,0.010874,0.065341,0.183239,2.096295,0.226515
[B] Random,20,0.005114,0.019628,0.013563,0.090909,0.284186,2.501699,0.219079
[B] Popular,5,0.019318,0.024269,0.023437,0.0625,0.125758,1.797564,0.144886
[B] Popular,10,0.016477,0.042742,0.031557,0.119318,0.167898,2.064013,0.197222
[B] Popular,20,0.012784,0.064312,0.04018,0.159091,0.267803,2.703126,0.136379
[B] UserCF,5,0.055682,0.047468,0.063316,0.201705,0.054451,0.56254,0.561932
[B] UserCF,10,0.043182,0.070272,0.068175,0.258523,0.094981,1.044721,0.446717
[B] UserCF,20,0.03125,0.100018,0.080229,0.326705,0.174621,1.60411,0.355188
CF_only,5,0.056818,0.051344,0.071673,0.224432,0.074148,1.051881,0.282102
CF_only,10,0.03608,0.064085,0.069631,0.258523,0.141383,1.854633,0.134028
CF_only,20,0.020455,0.071951,0.072109,0.275568,0.25928,2.615996,0.071023
Swing_only,5,0.027273,0.030136,0.031161,0.125,0.111553,1.595964,0.106818
Swing_only,10,0.028125,0.055832,0.042623,0.235795,0.187973,2.201947,0.083018
Swing_only,20,0.021875,0.079884,0.053693,0.332386,0.335701,2.910367,0.049282
Graph_only,5,0.004545,0.003636,0.00469,0.022727,0.103598,1.458614,0.173485
Graph_only,10,0.00483,0.008155,0.006517,0.042614,0.155019,1.845625,0.178946
Graph_only,20,0.003551,0.011456,0.008,0.0625,0.192708,1.936715,0.211436
Semantic_only,5,0.071023,0.084056,0.100946,0.244318,0.09536,1.347277,0.294602
Semantic_only,10,0.051136,0.11535,0.110535,0.318182,0.155303,2.041267,0.18971
Semantic_only,20,0.037216,0.153117,0.126491,0.397727,0.217803,2.349953,0.217376
Knowledge_only,5,0.011364,0.006122,0.011633,0.036932,0.019223,0.088268,0.43125
Knowledge_only,10,0.008807,0.010492,0.011231,0.053977,0.019223,0.080964,0.44274
Knowledge_only,20,0.008523,0.01993,0.014975,0.099432,0.019223,0.066082,0.454441
Hot_only,5,0.009091,0.009293,0.014062,0.045455,0.09233,1.215181,0.377841
Hot_only,10,0.007955,0.01514,0.01617,0.079545,0.239773,2.616891,0.113194
Hot_only,20,0.009091,0.037095,0.02473,0.161932,0.429924,3.503819,0.055188
CF+Swing,5,0.05625,0.053003,0.069481,0.227273,0.089678,1.258833,0.221875
CF+Swing,10,0.036648,0.06506,0.068268,0.267045,0.163542,2.016754,0.110669
CF+Swing,20,0.020597,0.071221,0.070327,0.284091,0.28608,2.719515,0.063322
CF+Graph,5,0.051136,0.045745,0.06233,0.215909,0.099716,1.405464,0.266477
CF+Graph,10,0.035227,0.063307,0.064278,0.258523,0.17661,2.208789,0.14887
CF+Graph,20,0.020597,0.072234,0.067359,0.292614,0.291856,2.882544,0.105456
CF+Semantic,5,0.097159,0.105506,0.130762,0.329545,0.095265,1.34972,0.291477
CF+Semantic,10,0.061648,0.132856,0.133118,0.389205,0.165057,2.153591,0.160101
CF+Semantic,20,0.038068,0.160505,0.143347,0.423295,0.283144,2.916353,0.101989
Graph+Semantic,5,0.060795,0.071299,0.069496,0.232955,0.104261,1.474801,0.249148
Graph+Semantic,10,0.048295,0.108079,0.083185,0.3125,0.167235,2.123813,0.175131
Graph+Semantic,20,0.034091,0.144186,0.097978,0.380682,0.254924,2.551356,0.184661
CF+Graph+Sem,5,0.082955,0.089613,0.106423,0.301136,0.102652,1.455525,0.257102
CF+Graph+Sem,10,0.057955,0.124671,0.113636,0.372159,0.174527,2.219969,0.151578
CF+Graph+Sem,20,0.037642,0.158662,0.126456,0.417614,0.289205,2.899249,0.11195
CF+Swing+Graph,5,0.051705,0.048079,0.064483,0.232955,0.108996,1.536129,0.225852
CF+Swing+Graph,10,0.036364,0.064658,0.066695,0.278409,0.185795,2.282922,0.136912
CF+Swing+Graph,20,0.022159,0.076414,0.071374,0.306818,0.308617,2.960391,0.097636
Full_Fusion,5,0.072159,0.070541,0.096764,0.298295,0.09858,1.397921,0.275852
Full_Fusion,10,0.044318,0.087065,0.095073,0.340909,0.174337,2.208073,0.155934
Full_Fusion,20,0.028551,0.116609,0.10566,0.397727,0.320076,3.066205,0.089967
GBDT_Ranking,5,0.1375,0.161269,0.18851,0.366477,0.100189,1.42227,0.267045
GBDT_Ranking,10,0.077273,0.176977,0.186648,0.403409,0.193371,2.363335,0.128914
GBDT_Ranking,20,0.041477,0.186001,0.189912,0.434659,0.355398,3.226599,0.07337
