config,k,stage,n_users,precision,ndcg,hitrate
CF_only,5,cold,1,0.0,0.0,0.0
CF_only,5,warm,577,0.154246,0.289378,0.521664
CF_only,5,active,3603,0.08776,0.111744,0.283097
CF_only,10,cold,1,0.0,0.0,0.0
CF_only,10,warm,577,0.088215,0.301389,0.564991
CF_only,10,active,3603,0.060866,0.106423,0.341382
CF_only,20,cold,1,0.0,0.0,0.0
CF_only,20,warm,577,0.050693,0.315899,0.620451
CF_only,20,active,3603,0.041896,0.111409,0.410214
Swing_only,5,cold,1,0.0,0.0,0.0
Swing_only,5,warm,577,0.030503,0.043456,0.117851
Swing_only,5,active,3603,0.0403,0.045414,0.179017
Swing_only,10,cold,1,0.0,0.0,0.0
Swing_only,10,warm,577,0.025303,0.055291,0.195841
Swing_only,10,active,3603,0.035998,0.051737,0.282542
Swing_only,20,cold,1,0.0,0.0,0.0
Swing_only,20,warm,577,0.017418,0.065893,0.265165
Swing_only,20,active,3603,0.031266,0.065717,0.424924
CF+Swing,5,cold,1,0.0,0.0,0.0
CF+Swing,5,warm,577,0.132409,0.192197,0.480069
CF+Swing,5,active,3603,0.084929,0.097956,0.313072
CF+Swing,10,cold,1,0.0,0.0,0.0
CF+Swing,10,warm,577,0.086655,0.219709,0.559792
CF+Swing,10,active,3603,0.064419,0.099935,0.391618
CF+Swing,20,cold,1,0.0,0.0,0.0
CF+Swing,20,warm,577,0.0526,0.239771,0.62565
CF+Swing,20,active,3603,0.046739,0.110841,0.487649
Semantic_only,5,cold,1,0.0,0.0,0.0
Semantic_only,5,warm,577,0.032582,0.04129,0.136915
Semantic_only,5,active,3603,0.03325,0.035722,0.147377
Semantic_only,10,cold,1,0.0,0.0,0.0
Semantic_only,10,warm,577,0.040208,0.076502,0.32409
Semantic_only,10,active,3603,0.032806,0.044347,0.265612
Semantic_only,20,cold,1,0.0,0.0,0.0
Semantic_only,20,warm,577,0.036135,0.114579,0.52513
Semantic_only,20,active,3603,0.030752,0.060815,0.424646
Knowledge_only,5,cold,1,0.0,0.0,0.0
Knowledge_only,5,warm,577,0.032582,0.04129,0.136915
Knowledge_only,5,active,3603,0.03325,0.035722,0.147377
Knowledge_only,10,cold,1,0.0,0.0,0.0
Knowledge_only,10,warm,577,0.040208,0.076502,0.32409
Knowledge_only,10,active,3603,0.032806,0.044347,0.265612
Knowledge_only,20,cold,1,0.0,0.0,0.0
Knowledge_only,20,warm,577,0.036135,0.114579,0.52513
Knowledge_only,20,active,3603,0.030752,0.060815,0.424646
Graph_only,5,cold,1,0.0,0.0,0.0
Graph_only,5,warm,577,0.0,0.0,0.0
Graph_only,5,active,3603,0.0,0.0,0.0
Graph_only,10,cold,1,0.0,0.0,0.0
Graph_only,10,warm,577,0.0,0.0,0.0
Graph_only,10,active,3603,8.3e-05,8.5e-05,0.000833
Graph_only,20,cold,1,0.0,0.0,0.0
Graph_only,20,warm,577,8.7e-05,0.000154,0.001733
Graph_only,20,active,3603,0.000139,0.000208,0.002775
Full_Fusion,5,cold,1,0.0,0.0,0.0
Full_Fusion,5,warm,577,0.123744,0.208779,0.476603
Full_Fusion,5,active,3603,0.063003,0.074518,0.242576
Full_Fusion,10,cold,1,0.0,0.0,0.0
Full_Fusion,10,warm,577,0.076776,0.228087,0.532062
Full_Fusion,10,active,3603,0.048515,0.0768,0.323897
Full_Fusion,20,cold,1,0.0,0.0,0.0
Full_Fusion,20,warm,577,0.044714,0.242009,0.577123
Full_Fusion,20,active,3603,0.035332,0.085019,0.410214
GBDT_Ranking,5,cold,1,0.0,0.0,0.0
GBDT_Ranking,5,warm,577,0.171924,0.315592,0.573657
GBDT_Ranking,5,active,3603,0.115681,0.141783,0.375243
GBDT_Ranking,10,cold,1,0.0,0.0,0.0
GBDT_Ranking,10,warm,577,0.10364,0.33705,0.632582
GBDT_Ranking,10,active,3603,0.088815,0.144182,0.494865
GBDT_Ranking,20,cold,1,0.0,0.0,0.0
GBDT_Ranking,20,warm,577,0.063085,0.362127,0.729636
GBDT_Ranking,20,active,3603,0.066375,0.160489,0.621427
